Rooms,Footage,Rent,address,title,description,street,city,canton
2.5,70,1500,"Mürtschenstrasse 7, 8630 Rüti ZH, ZH",«2.5 Zimmerwohnung mit Balkon»,,Mürtschenstrasse 7,8630 Rüti ZH,ZH
4.0,130,1940,"Ausserdorfstrasse 33, 8933 Maschwanden, ZH",«3.5 Maisonette-Dachwohnung mit zusätzl. kleinem Zimmer»,,Ausserdorfstrasse 33,8933 Maschwanden,ZH
4.5,92,1900,"Roggenweg 16, 8405 Winterthur, ZH","«Im Grünen Wohnen ""Mieten ohne Kaution""»",,Roggenweg 16,8405 Winterthur,ZH
4.5,111,2121,"Müllerwis 19, 8606 Greifensee, ZH",«Grosszügige Wohnung mit tollem Grundriss»,"Wir vermieten diese schöne Wohnung mit folgenden Vorzügen: - Alle Zimmer mit Parkettboden- Küche und Bad mit Plattenboden- Moderne, offene Küche mit Geschirrspüler und Glaskeramik- Badezimmer mit Badewanne- Balkon- Ideale Verkehrsanbindung- Greifensee in wenigen Gehminuten erreichbar- Naherholungsgebiet in unmittelbarer Nähe- Weitere Infos zur Überbauung auf www.muellerwis.ch - Einstellplätze à CHF 125.00/Monat oder Aussenabstellplätze à CHF 50.00/Monat können dazu gemietet werden. Haben wir Ihr Interesse geweckt? Dann zögern Sie nicht uns zu k",Müllerwis 19,8606 Greifensee,ZH
4.5,185,3240,"Katharina Sulzer Platz 10, 8400 Winterthur, ZH",«Schöne Maisonette-Wohnung im Herzen von Winterthur MIETEN OHNE KAUTION»,"- Wohnfläche ca. 175 m2- lichtdurchflutete, ca. 3 m hohe Räume- überall dunkler Parkett- Nasszellen pflegeleichte Keramikböden- modernster Ausbaustandard- Küche mit GK, GS und Steamer- Bad/WC mit Doppellavabo in oberster Etage (8.)- Dusche/WC mit Waschturm in unterster Etage (6.)- abschliessbarer Abstellraum vor dem WG-Eingang- grosser Balkon mit herrlicher Weitsicht- 6. - 8. Stock- Lift- Bushaltestelle ""Brühleck"" in unmittelbarer Nähe (Linien 7, 11, 1 + 4)- 5 Gehminuten zum Hauptbahnhof und in die Stadt>> siehe auch www.kranbahn.ch (WG-Nr. 607",Katharina Sulzer Platz 10,8400 Winterthur,ZH
3.0,71,1810,"Spitalweg 5, 8910 Affoltern am Albis, ZH",«Modern und ruhig gelegen»,"Wir vermieten per 1. Juli 2023 oder nach Vereinbarung eine ruhige und zentral gelegene 3.0 Zimmer-Wohnung in einer kinderfreundlichen Umgebung. Folgende Highlights überzeugen:- Wohnzimmer, Korridor und Schlafzimmer mit Parkett- Moderne Küche mit Essplatz, Glaskeramikkochfeld und Fenster- Bad/WC mit Badewanne- Separates Gäste-WC- Wandschrank im Korridor- Sonniger Gartensitzplatz- Guter Anschluss an öffentliche Verkehrsmittel- Einkaufsmöglichkeiten in unmittelbarer Nähe- Einstellplätze sind für CHF 130.-/ Monat verfügbarWir freuen uns auf Ihre An",Spitalweg 5,8910 Affoltern am Albis,ZH
2.5,88,2110,"Wildbachstrasse 11, 8424 Embrach, ZH",«Moderne Attikawohnung am Wildbach»,"Per 01.07.2023 sind wir auf der Suche nach neuen Mietern für diese neue moderne Attikawohnung. Nebst dem attraktiven Grundriss hat Ihnen dieses Schmuckstück folgenden Ausbaustandart zu bieten:- ganze Wohnung mit Parkettböden- helle und moderne Küche mit Plattenboden- Geschirrspüler und Glaskeramikherd- modernes Bad/WC - Einbauschränke- grosse Terrasse ca. 43 m2Bei den Fotos handelt es sich um Visualisierungen, die den Ausbaustandard zeigen. Die genaue Raumaufteilung entnehmen Sie bitte dem angefügten Grundrissplan.Ein Einstellplatz kann bei Bed",Wildbachstrasse 11,8424 Embrach,ZH
3.0,69,1810,"Lochäckerstrasse 21/23/25, 8302 Kloten, ZH",«Moderne Wohnung am Waldrand sucht Sie!»,"Wir vermieten diese moderne 3.0-Zimmerwohnung an der Lochäckerstrasse 21, 8302 Kloten welche Ihnen die folgenden Annehmlichkeiten bietet:- Eingangsbereich mit praktischen Wandschränken- alle Wohnräume mit Parkettboden- schöner und ansprechender Wohnbereich- zwei geräumige Schlafzimmer- abgeschlossene und helle Küche mit Balkon- mit Granitabdeckung- mit Glaskeramikherd- mit Geschirrspüler- Nassbereich mit Badewanne und WC- Gartensitzplatz- Lift- KellerabteilBei den Bildern handelt es sich um Musterfotos, welche zur Veranschaulichung den Ausbaust",Lochäckerstrasse 21/23/25,8302 Kloten,ZH
2.5,56,1980,"Lochäckerstrasse 12, 8302 Kloten, ZH",«Modernes und naturnahes Wohnen!»,"Wir vermieten per 01.07.2023 diese top moderne 2.5-Zimmerwohnung an der Lochäckerstrasse 12, welche Ihnen zusätzlich die folgenden Annehmlichkeiten bietet:- Wohn- und Schlafräume mit Eichenparkettboden, matt versiegelt- alle Zimmer mit Fussbodenheizung- moderne Küche mit Glaskeramikherd- mit Backofen und Geschirrspüler (alle Geräte von V-Zug)- Nasszellen (Bad/WC und Dusche/WC) - mit keramischen Platten (anthrazit, weiss)- im Untergeschoss pro Wohnung ein separat abgetrenntes Waschabteil (Waschmaschine / Tumbler)- Loggia - Lift vorhandenBei den",Lochäckerstrasse 12,8302 Kloten,ZH
4.5,79,1330,"Eichelwiesenstrasse 5, 8305 Dietlikon, ZH",«Familienwohnung an zentraler Lage»,"Per 16.05.2023 vermieten wir diese schöne und gemütliche 4.5-Zimmerwohnung.Die Wohnung bietet Ihnen folgende Annehmlichkeiten:- Wohn- und Schlafzimmer mit Parkettboden- Küche und Nasszelle mit pflegeleichtem, hellem PVC-Boden- Küche mit Glaskeramikherd, Geschirrspüler, Backofen und genügend Stauraum für Ihre Küchenutensilien- Badezimmer mit WC, Doppellavabo, Spiegelschrank, Badewanne und integrierter Kommode- Separates WC- Sonniger Balkon welcher zum Verweilen einlädtHaustiere sind erlaubt.Bei Bedarf kann ein Einstellplatz für CHF 130.00 pro Mo",Eichelwiesenstrasse 5,8305 Dietlikon,ZH
3.5,96,3450,"Heidwiesen 15, 8051 Zürich, ZH",«Erstbezug: Exklusive Wohnung mit Eigentumsstandard in Schwamendingen»,,Heidwiesen 15,8051 Zürich,ZH
3.0,62,1700,"Kreuzsteinstrasse 84, 8707 Uetikon am See, ZH",«frisch gestrichene 3-Zimmerwohnung im EG (HP) an friedlichem Standort»,"Nach Vereinbarung vermieten wir diese hübsche und friedliche 3-Zimmerwohnung im EG (HP) an der Kreuzsteinstrasse 84 in Uetikon am See.Die Liegenschaft liegt in einem ruhigen Wohnquartier und ist doch sehr nah von Einkaufsmöglichkeiten und öffentlichen Verkehrsmitteln.Die Wohnung verfügt über eine geräumige Küche inkl. allem Wichtegem (grosser Kühlschrank mit sep. Gefrierer, Geschirrspüler, Herd mit Backofen, Dunstabzug).Die Zimmer verfügen über Laminatbodenbeläge, das Badezimmer über keramische Platten. Die Böden in der Küche und im Korridor wu",Kreuzsteinstrasse 84,8707 Uetikon am See,ZH
3.5,90,3525,"Hadlaubstrasse 130, 8006 Zürich, ZH","«Schöne, helle und gemütliche 3,5-Zimmer-Wohnung im Kreis 6»",,Hadlaubstrasse 130,8006 Zürich,ZH
4.5,120,3400,"Grundstrasse 15, 8305 Dietlikon, ZH",«4.5 Appartment with private garden (12 minutes to Zurich HB)»,,Grundstrasse 15,8305 Dietlikon,ZH
2.0,55,1446,"Seilerwis 5, 8606 Greifensee, ZH",«Hübsche Singlewohnung!»,Wir vermieten diese schöne Wohnung mit folgenden Ausstattungsmerkmalen:- Wohn- und Schlafbereich mit Parkettböden- Moderne Küche mit Geschirrspüler und Glaskeramikherd- Bad/WC mit Badewanne- Separates Reduit- Balkon- Lift vorhanden- Haustiere mit Bewilligung erlaubt - Ideale Verkehrsanbindung- Einkaufsmöglichkeiten und Greifensee in wenigen Gehminuten erreichbar- Naherholungsgebiet in unmittelbarer Nähe- Weitere Infos zur Überbauung auf www.muellerwis.ch - Liegenschaft mit LIVING SERVICES www.livingservices.ch Einstellplätze à CHF 125.00/Monat,Seilerwis 5,8606 Greifensee,ZH
3.0,61,1120,"Moosstrasse 22, 8630 Rüti ZH, ZH",«Praktische Wohnung an ruhige Lage»,"Per sofort vermieten wir eine schöne 3-Zimmerwohnung, befristet bis zum 31. März 2024.Da es sich um eine Sanierungs-Liegenschaft handelt, renovieren wir die ansonsten gut erhaltene Wohnung nicht mehr. Die Wohnung liegt in einer grünen und ruhigen Umgebung.- Ganze Wohnung mit Parkettboden- Küche und Nassezelle mit Plattenboden- Geschlossene Küche mit Gasherd- Bad/WC mit Badewanne- Balkon mit Aussicht ins Grüne- Korridor mit Einbauschrank- Ruhige Lage- Gute Verkehrsanbindung- Zentral gelegenHaben wir Ihr Interesse geweckt? Dann zögern Sie nicht u",Moosstrasse 22,8630 Rüti ZH,ZH
3.5,76,1740,"Vortauenstrasse 11, 8108 Dällikon, ZH",«Wohnen im Grünen!»,"Wir vermieten per 01. Juni 2023 eine attraktive Wohnung an ruhiger Lage mit folgenden Highlights:- Lichtdurchflutete Zimmer- Moderne Küche mit GK und GS- Bad mit Wanne- Wohn-/Esszimmr und Schlafzimmer mit Parket- Bad und WC mit Plattenboden- Balkon- Ruhige Wohnlage- Kinderfreundliche Überbauung- Nähe ÖV, Einkauf und Schule- Einstellplatz für CHF 100. anmietbarDällikon ist verkehrstechnisch optimal erschlossen. Dank den nahegelegenen Autobahnanschlüssen in Regensdorf oder Wettingen sind Städte wie Zürich, Luzern oder Bern mit dem Privatverkehr e",Vortauenstrasse 11,8108 Dällikon,ZH
2.5,76,1570,"Bärenweidstrasse 10, 8833 Samstagern, ZH",«Schöne Wohnung an ruhiger Lage»,,Bärenweidstrasse 10,8833 Samstagern,ZH
2.0,52,1950,"Höfliweg 17, 8055 Zürich, ZH",«2 Zimmer Dachwohnung»,,Höfliweg 17,8055 Zürich,ZH
2.5,87,1820,"Wändhüslenstrasse 9, 8608 Bubikon, ZH",«Ruhige 2.5 Zimmer Whg. im 2 Stock mit grossem Balkon gedeckt»,,Wändhüslenstrasse 9,8608 Bubikon,ZH
5.5,95,3050,"Friedheimstrasse 7, 8404 Winterthur, ZH",«5.5 Zimmer Einfamilien-Haus mit Garten»,,Friedheimstrasse 7,8404 Winterthur,ZH
3.0,70,1200,"Chesslerstrasse 4, 8477 Oberstammheim, ZH",«3 Zimmer Wohnung»,,Chesslerstrasse 4,8477 Oberstammheim,ZH
4.5,92,1870,"Dättlikonerstr. 3c, 8422 Pfungen, ZH",«Gemütliche Wohnung mit grossem Balkon»,,Dättlikonerstr. 3c,8422 Pfungen,ZH
4.5,109,2420,"Finsterrütistrasse 17A, 8134 Adliswil, ZH",«Die perfekte Familienwohnung»,Per 16.06.2023 sind wir auf der Suche nach einer neuen Mieterschaft für diese hübsche 4.5-Zimmerwohnung. Das Objekt befindet sich in gepflegter Umgebung und bietet Ihnen die folgende Ausstattung:- Wohnbereich mit Parkettboden- moderne Küche mit Plattenboden- mit Geschirrspüler - mit Granitabdeckung - helles Badezimmer/WC - separate Dusche/WC- Einbauschrank- Balkon- Kellerabteil- LiftDie Bilder entsprechen dem Ausbaustandard und können leicht vom angebotenen Objekt abweichen. Die genaue Raumaufteilung können Sie dem angefügten Grundrissplan entn,Finsterrütistrasse 17A,8134 Adliswil,ZH
3.5,85,1830,"Im Guet 10, 8172 Niederglatt ZH, ZH",«Grosszügige Wohnung in parkähnlicher Umgebung»,"Diese Liegenschaft mit ihren attraktiven und sonnigen Wohnungen liegt in einer parkähnlichen Gartenanlage und direkt am Ufer der Glatt. Per 1. August 2023 suchen wir sympathische neue Mieter für diese stilvolle 3.5-Zimmerwohnung, welche im Sommer 2013 saniert wurde und Ihnen den folgenden Ausbaustandard bietet:- grosszügig konzipiert- Wohnräume mit Eichen-Parkettboden- neue, moderne Küche - mit Glaskeramikherd- mit Geschirrspüler- mit Backofen auf Sichthöhe- mit Granitabdeckung - helles, modernes Badezimmer / WC- Réduit- Lift - Einbauschränke -",Im Guet 10,8172 Niederglatt ZH,ZH
2.5,66,1970,"Hätzlergasse 28, 8048 Zürich, ZH",«Grosszügige und frisch sanierte Wohnung mit Flair - befristet für 1 Jahr.»,"Wir vermieten eine helle 2.5-Zimmerwohnung befristet für 1 Jahr an ruhiger Lage mit Gartensitzplatz, welche sich bestens für Paare ohne Kinder eignet. Die Liegenschaft wurde im Jahr 2014 komplett saniert und bietet Ihnen folgenden Ausbaustandard:- helle Wohn- und Schlafzimmer - mit Parkettboden- moderne Küche - mit Glaskeramikkochherd- mit Geschirrspüler- mit Granitabdeckung- WC mit Badewanne- und Tageslicht- Sitzplatz - Lift- Kellerabteil Bei den Fotos handelt es sich um Musterbilder, die den Ausbaustandard darstellen. Die genaue Raumaufteilun",Hätzlergasse 28,8048 Zürich,ZH
5.5,145,3210,"Obstgartenstr. 12, 8136 Gattikon, ZH",«Schön und grosszügig Wohnen!»,"Wir vermieten per 01. April 2023 oder nach Vereinbarung diese schöne 5.5 Zimmer-Wohnung.Hier einige Vorteile: - Wohn- und Esszimmerboden mit Steinplatten- Schlaf- und Kinderzimmerboden mit Laminat- Korridor, und Nasszellen mit Steinplatten- Bad/WC mit Badewanne- Dusche/WC- Küche mit Glaskeramikkochfeld, Geschirrspüler und Kühl- und separatem Gefrierschrank- Praktische Einbauschränke im Eingangsbereich- Eigener Waschturm im Bad (WM / TU)- Cheminée im Wohnzimmer- Kleiner und grosser Gartensitzplatz- Lift vorhanden- Kinderfreundliche und gepflegte",Obstgartenstr. 12,8136 Gattikon,ZH
3.0,74,1770,"Lochäckerstrass 35/37/39/41/43, 8302 Kloten, ZH","«Ihr neues Zuhause, top modern!»","Wir vermieten diese moderne Wohnung an der Lochäckerstrasse 35 in Kloten welche Ihnen nebst der ruhigen und idyllischen Lage den folgenden Ausbaustandard bietet:- alle Wohnräume mit Parkettboden- Eingangsbereich mit praktischen Wandschränken- schöner und ansprechender Wohnbereich- zwei geräumige Schlafzimmer- abgeschlossene und helle Küche mit zusätzlichem Balkon- Granitabdeckung- Glaskeramikherd- Geschirrspüler- Nassbereich mit Badewanne, WC und Fenster- Balkon mit Abendsonne- KellerabteilBei den Bildern handelt es sich um Musterfotos, welche",Lochäckerstrass 35/37/39/41/43,8302 Kloten,ZH
3.5,82,2100,"Sonnenmatt 3, 8136 Gattikon, ZH",«Attraktive Wohnung an ruhiger Lage!»,"In einer ansprechenden Liegenschaft vermieten wir diese helle 3.5-Zimmerwohnung, die Ihnen unter anderem den folgenden Ausbaustandard bietet:- Wohnbereich mit Parkettboden- Korridor und Essecke mit Klinkerboden- grosse Küche mit Fenster und kleinem Nordbalkon- mit Plattenherd, grossem Kühlschrank- Schlafzimmer mit neuem Linoleumboden- Bad/WC- Balkon nach Süden- Kellerabteil- kein Lift- kleine Haustiere gestattetBei den Bildern handelt es sich um Musterbilder, die vom angebotenen Objekt abweichen können. Die genaue Raumaufteilung entnehmen Sie b",Sonnenmatt 3,8136 Gattikon,ZH
3.5,84,2990,"Leubergstrasse 13, 8615 Wermatswil, ZH",«Königliches Wohnen mit ebensolcher Aussicht»,,Leubergstrasse 13,8615 Wermatswil,ZH
3.0,75100,1690,"Hofackerstrasse 3, 8132 Egg b. Zürich, ZH",«3 Zimmer Wohnung Egg b Zürich»,,Hofackerstrasse 3,8132 Egg b. Zürich,ZH
3.5,84,1950,"Spycherweg 11, 8155 Niederhasli, ZH",«3 1/2 Zimmer-Wohnung an ruhiger Lage»,,Spycherweg 11,8155 Niederhasli,ZH
4.5,145,2250,"Obstgartenstrasse 3, 8187 Weiach, ZH",«Grosszügige und heimelige Maisonettewohnung in ländlicher Idylle»,"Wohnträume werden wahr in Weiach! Einziehen und sich wohlfühlen: diese neuwertige, attraktive 4.5-Zimmer Wohnung mit einem originellem Grundriss auf grosszügigen 145 Quadratmetern bietet Raum für individuelle Wohnformen und kreative Einrichtungsideen. Der moderne, hochwertige Innenausbau vermittelt eine edle Wertigkeit. Helle Parkettböden und die mit weiss lasiertem Holz verkleideten, spielerisch in den Wohnraum integrierten Dachschrägen sorgen für Behaglichkeit. Grosse, von der Decke bis zum Boden reichende Fensterfronten erzeugen ein helles,",Obstgartenstrasse 3,8187 Weiach,ZH
7.5,140,3794,"Kirchstrasse 7, 8134 Adliswil, ZH","«7.5 Zimmer, 3500.-»","7.5 Zimmer-Wohnung an der Kirchstrasse 7 in einem 4-Familienhaus. Zentral gelegen, 10 Minuten von Bahnhof und Busstationen (S4/184/185).Die Wohnung ist in Kirchennähe (Glockengeläut)Garagenplatz kann für CHF 150 dazu gemietet werden.",Kirchstrasse 7,8134 Adliswil,ZH
2.5,65,1899,"Ebertswilerstrasse 7, 8915 Hausen am Albis, ZH",«2.5 Zimmerwohnung Erstbezug nach Totalsanierung»,"Komplett saniert - Ideal für berufstätigen Single-Haushalt mit Komfort.Diese komplett sanierte, sonnige Wohnung im Hochparterre, verfügt über eine grosse Wohnküche mit allem Komfort, wo man gerne für sich oder Freunde kocht. Wohnzimmer und Schlafzimmer mit Ihrem warmen Parkett strahlen Ruhe und Gemütlichkeit aus. Die grossen Fenster durchfluten die Räume mit Tageslicht. Ein weiteres Highlight ist das Bad, mit grosser Duschzelle und eigenem Wäscheturm. Der grosse Südbalkon und die ruhige Lage runden das Angebot ab.Lebensraum und Lebensqualität:",Ebertswilerstrasse 7,8915 Hausen am Albis,ZH
2.0,48,2850,"8153 Rümlang, ZH",«Erstbezug an attraktiver Lage»,"An exklusiver Lage entsteht ein neues Mehrfamilienhaus mit 44 Wohnungen, Tankstelle und Gewerbefläche.Per 01.07.2023 vermieten wir diese möblierten Apartments der besonderen Art - komfortabel und sofort bezugsbereit. Erleben Sie gemütliches Wohnen im Herzen von Rümlang.Ihre neuen vier Wände überraschen Sie mit folgenden Highlights, welche im Mietpreis inklusive sind:+ Sämtliche Nebenkosten wie Strom, Wasser, Heizung + Internet via WLAN+ Komplett ausgestattete Küche mit Kühlschrank und Induktionsherd+ Wasserkocher, Pfannen, Geschirr+ Flachbildsc",,8153 Rümlang,ZH
2.0,48,2850,"8153 Rümlang, ZH",«Erstbezug an attraktiver Lage»,,,8153 Rümlang,ZH
4.5,255,3900,"Oberburg 15, 8158 Regensberg, ZH",«Wohnen (und arbeiten?) in autofreier Umgebung»,,Oberburg 15,8158 Regensberg,ZH
3.5,90,2070,"Gottfried-Kellerstrasse 26, 8192 Glattfelden, ZH",«schöne und ruhiggelegene Wohnung im Gottfried-Keller-Dorf»,,Gottfried-Kellerstrasse 26,8192 Glattfelden,ZH
6.5,200,4750,"Schlosshofstrasse 218, 8404 Winterthur, ZH",«Einzigartige Terrassenwohnung an bester Lage»,,Schlosshofstrasse 218,8404 Winterthur,ZH
2.5,60,1590,"Alte Badenerstrasse 22, 8173 Neerach, ZH",«Dachwohnung mit Lift + viel Aussicht im steuergünstigen Neerach»,,Alte Badenerstrasse 22,8173 Neerach,ZH
3.5,120,3190,"Huswiesstrasse 19, 8608 Bubikon, ZH",«Attikawohnung mit allem Komfort»,,Huswiesstrasse 19,8608 Bubikon,ZH
2.5,56,2020,"Werkstrasse 4, 8630 Rüti ZH, ZH","«2.5 Zi Seniorenwohnung ""Wohnen Plus"" (mit Service-Leistungen)»",,Werkstrasse 4,8630 Rüti ZH,ZH
3.0,60,1640,"Säntisstrasse 1, 8305 Dietlikon, ZH","«Helle 3 Zimmerwohnung, zentral gelegen»","Kurzfristig helle 3 Zimmerwohnung mit Balkon, an zentraler Lage nähe Bahnhof und Einkaufsmöglichkeiten in Dietlikon zu vermieten!Besichtigung nach Absprache und Anmeldung bei Christian Mettler",Säntisstrasse 1,8305 Dietlikon,ZH
1.0,25,1090,"Winkelweg 3, 8488 Turbenthal, ZH",«Frisch renovierte 1-Zimmerwohnung - perfekt für Singles!»,,Winkelweg 3,8488 Turbenthal,ZH
4.5,117,2810,"Eichgutstr. 4, 8400 Winterthur, ZH",«Zentral und doch ruhig»,"- Hohe Räume- Heller Eschenparkett in allen Wohnräumen- Natursteinplatten in den Nasszellen- Lift direkt in die Wohnung- Entrée mit Garderobenraum- Einbauschränke- Offene Küche- Dusche/WC- Bad/WC mit Doppellavabo- Wasch- und Trockenturm in Wohnung- Loggia mit raumhoher Verglasung, aussen variable Schiebefenster- Einstellplätze à CHF 170.00 mtl. vorhandenDie Bilder zeigen den Standard der Liegenschaft und entsprechen nicht immer der angebotenen Wohnung.Grundriss kann unter www.eichgut-winterthur.ch abgerufen werden (Wohnung B31)",Eichgutstr. 4,8400 Winterthur,ZH
